#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
126,"Malt Liquor","Lewis Del Mar",122,4B,72,2026-03-09,04:21,40,"","Lewis Del Mar",2016-10-07,71,49,5,35,10,10,-8,G#/A♭ Major,4,4g5MorMCNI2aOwEBSov4RT,USSM11509020
127,"broken","lovelytheband",123,9B,73,2026-03-09,03:24,67,"","finding it hard to smile",2018-08-03,67,0,0,51,0,0,-6,G Major,4,6XcfKZvJio9Z0fQy11GnNX,US3DF1712109
128,"Ophelia","The Lumineers",76,7B,57,2026-03-09,02:40,81,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,14AyWf6y7KlWWLfAjdKMKI,USDMG1673802
129,"Stonecold","machineheart",94,9B,37,2026-03-09,03:40,46,"","Stonecold",2016-09-09,62,0,2,15,0,10,-7,G Major,4,4jmPfB6e9vKMrGEDyZgkwn,TCACR1648290
130,"Empty Promises","Mainland",180,10A,71,2026-03-09,04:24,9,"","Empty Promises",2016-11-11,49,0,0,57,0,10,-6,B Minor,4,4JVjcbILBGcbxlZN0VKl9z,QMCE31600810
131,"Permission Slip","Mainland",150,11B,91,2026-03-09,03:29,23,"","Permission Slip",2016-10-21,49,0,0,82,0,10,-6,A Major,4,5lmX9ai11jjsabltxj32kb,QMCE31600785
132,"The Gold","Manchester Orchestra",180,11B,69,2026-03-09,04:33,58,"","A Black Mile To The Surface",2017-07-28,39,0,1,46,0,10,-7,A Major,3,3EytfC22ikoXM921cJbejn,USC4R1702130
133,"Guillotine","Mansionair,NoMBe",102,1B,65,2026-03-09,02:46,50,"","Happiness, Guaranteed",2022-04-29,69,0,16,84,0,10,-7,B Major,4,3E6FFDeNJvxskxS045jisy,GBKPL2029456
134,"Easier","Mansionair",117,2B,48,2026-03-09,04:32,52,"","Shadowboxer",2019-03-01,45,20,4,21,0,0,-7,F#/G♭ Major,4,59yTEzjOYeugvF9WKAvONs,AULI01607450
135,"Astronaut (Something About Your Love)","Mansionair",106,4A,56,2026-03-09,03:22,45,"","Shadowboxer",2019-03-01,74,22,0,35,0,10,-9,F Minor,4,61c96X4Th7oYdSDxIOEV3k,USYAH1700133
136,"Devil in Disguise","Marino",110,12A,40,2026-03-09,01:44,81,"","Devil in Disguise",2025-07-18,90,51,0,62,0,10,-10,C♯/D♭ Minor,4,3MKhTroJs5GF9H7LqN9fiw,CA5KR2543145
137,"Grit Your Teeth","Martin Luke Brown",122,4A,71,2026-03-09,03:52,24,"","Grit Your Teeth",2018-03-16,81,12,0,48,0,10,-6,F Minor,4,5YyehzRoHpRdHKzi7HSafT,GB8MX1800012
138,"Opalite","Martin Luke Brown",104,10B,66,2026-03-09,03:31,37,"","Opalite",2017-09-15,73,1,0,11,0,30,-6,D Major,4,2z5xSPIlMpVhqbBhYGTYht,GB8MX1700251
139,"Go Easy","Matt Maeson",86,6A,71,2026-03-09,03:47,56,"","Bank On The Funeral",2019-04-05,35,20,0,33,10,0,-6,G Minor,4,4yoMMiRT5sXtIbSHKQfRqi,USAT21900731
140,"Beggar's Song","Matt Maeson",145,2B,46,2026-03-09,03:55,60,"","Bank On The Funeral",2019-04-05,45,60,0,27,0,0,-7,F#/G♭ Major,4,4NK49OnNDP3oJcTGs89XSg,USAT21900734
141,"Get Happy","Matt Maeson",168,11B,87,2026-03-09,03:48,43,"","Get Happy",2023-06-29,42,14,0,35,10,0,-6,A Major,4,1C1PabZfidunDI3xEj0D0H,USAT22305745
